domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,comparability_status
accessory_dwelling_units,adu_completed_units,ADU completed units,06075,San Francisco,2025,2025-12-31,annual,218.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_completed_units,ADU completed units,06081,San Mateo,2025,2025-12-31,annual,483.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_completed_units,ADU completed units,06085,Santa Clara,2025,2025-12-31,annual,1232.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_completed_units,ADU completed units,06095,Solano,2025,2025-12-31,annual,170.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_completed_units,ADU completed units,06097,Sonoma,2025,2025-12-31,annual,318.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_entitled_units,ADU entitled units,06001,Alameda,2025,2025-12-31,annual,833.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_entitled_units,ADU entitled units,06013,Contra Costa,2025,2025-12-31,annual,659.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_entitled_units,ADU entitled units,06041,Marin,2025,2025-12-31,annual,186.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_entitled_units,ADU entitled units,06055,Napa,2025,2025-12-31,annual,26.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_entitled_units,ADU entitled units,06075,San Francisco,2025,2025-12-31,annual,116.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
